AudioFile,Time,Speaker,Content,Processed,Phonemes
audio_00487,405.2048,GND,"Korean Air 036, contact Apron 122.17",Korean Air Zero Three Six contact Apron One Two Two Decimal One Seven,K AO R IY AH N EH R Z IH R OW TH R IY S IH K S K AA N T AE K T EY P R AH N W AH N T UW T UW D EH S AH M AH L W AH N S EH V AH N
audio_00488,408.9419,KAL036,"1 2 2 1 7, Korean Air 036",One Two Two One Seven Korean Air Zero Three Six,W AH N T UW T UW W AH N S EH V AH N K AO R IY AH N EH R Z IH R OW TH R IY S IH K S
audio_00489,419.4691,CXA872,"Ground, good afternoon, Xiamen Air 872, approaching M",Ground good afternoon Xiamen Air Eight Seven Two approaching Mike,G R AW N D G UH D AE F T ER N UW N Z IY EY M AH N EH R EY T S EH V AH N T UW AH P R OW CH IH NG M AY K
audio_00490,423.7567,GND,"Xiamen Air 872, Incheon Ground, follow the greens to holding point RWY16L via N",Xiamen Air Eight Seven Two Incheon Ground follow the greens to holding point Runway One Six Left via November,Z IY EY M AH N EH R EY T S EH V AH N T UW IH N CH AH N G R AW N D F AA L OW DH AH G R IY N Z T UW HH OW L D IH NG P OY N T R AH N W EY W AH N S IH K S L EH F T V AY AH N OW V EH M B ER
audio_00491,434.5341,CXA872,"Follow the greens to holding point RWY16L, Xiamen Air 872",Follow the greens to holding point Runway One Six Left Xiamen Air Eight Seven Two,F AA L OW DH AH G R IY N Z T UW HH OW L D IH NG P OY N T R AH N W EY W AH N S IH K S L EH F T Z IY EY M AH N EH R EY T S EH V AH N T UW
audio_00492,443.0927,UAL892,"Ground, United 892, R8, hold short of M",Ground United Eight Niner Two Romeo Eight hold short of Mike,G R AW N D Y UW N AY T AH D EY T N AY N ER T UW R OW M IY OW EY T HH OW L D SH AO R T AH V M AY K
audio_00493,446.6963,GND,"United 892 Heavy, Incheon Ground, follow the greens to holding point RWY16L",United Eight Niner Two Heavy Incheon Ground follow the greens to holding point Runway One Six Left,Y UW N AY T AH D EY T N AY N ER T UW HH EH V IY IH N CH AH N G R AW N D F AA L OW DH AH G R IY N Z T UW HH OW L D IH NG P OY N T R AH N W EY W AH N S IH K S L EH F T
audio_00494,452.8691,UAL892,"Taxi to holding point RWY16L, United 892",Taxi to holding point Runway One Six Left United Eight Niner Two,T AE K S IY T UW HH OW L D IH NG P OY N T R AH N W EY W AH N S IH K S L EH F T Y UW N AY T AH D EY T N AY N ER T UW
audio_00495,460.1931,ASV822,"Good afternoon, Tower, Air Seoul 822, approaching 16R, 8miles out",Good afternoon Tower Air Seoul Eight Two Two approaching One Six Right 8miles out,G UH D AE F T ER N UW N T AW ER EH R S OW L EY T T UW T UW AH P R OW CH IH NG W AH N S IH K S R AY T EY T M AH S AH L Z AW T
audio_00496,465.3649,TWR,"Good afternoon, Air Seoul 822, Incheon Tower, wind 14 correction 150 degrees 14kts, RWY16R, cleared to land",Good afternoon Air Seoul Eight Two Two Incheon Tower wind One Four correction One Five Zero degrees One Four Knots Runway One Six Right cleared to land,G UH D AE F T ER N UW N EH R S OW L EY T T UW T UW IH N CH AH N T AW ER W AY N D W AH N F AO R K ER EH K SH AH N W AH N F AY V Z IH R OW D IH G R IY Z W AH N F AO R N AA T S R AH N W EY W AH N S IH K S R AY T K L IH R D T UW L AE N D
audio_00497,472.5721,ASV822,"Cleared to land, RWY16R, Air Seoul 822",Cleared to land Runway One Six Right Air Seoul Eight Two Two,K L IH R D T UW L AE N D R AH N W EY W AH N S IH K S R AY T EH R S OW L EY T T UW T UW
audio_00498,476.8764,TWR,"Asiana 231, follow the greens to 7W",Asiana Two Three One follow the greens to Seven Whiskey,AA S IY AA N AH T UW TH R IY W AH N F AA L OW DH AH G R IY N Z T UW S EH V AH N W IH S K IY
audio_00500,491.5577,CES7786,"Incheon Ground, good afternoon, China Eastern 7786, taxiing on R8",Incheon Ground good afternoon China Eastern Seven Seven Eight Six taxiing on Romeo Eight,IH N CH AH N G R AW N D G UH D AE F T ER N UW N CH AY N AH IY S T ER N S EH V AH N S EH V AH N EY T S IH K S T AE K S IY IH NG AA N R OW M IY OW EY T
audio_00501,496.5627,GND,"China Eastern 7786 Heavy, Incheon Ground, follow the greens to holding point RWY16L",China Eastern Seven Seven Eight Six Heavy Incheon Ground follow the greens to holding point Runway One Six Left,CH AY N AH IY S T ER N S EH V AH N S EH V AH N EY T S IH K S HH EH V IY IH N CH AH N G R AW N D F AA L OW DH AH G R IY N Z T UW HH OW L D IH NG P OY N T R AH N W EY W AH N S IH K S L EH F T
audio_00502,502.3685,CES7786,"Follow the greens to holding point RWY16L, China Eastern 7786",Follow the greens to holding point Runway One Six Left China Eastern Seven Seven Eight Six,F AA L OW DH AH G R IY N Z T UW HH OW L D IH NG P OY N T R AH N W EY W AH N S IH K S L EH F T CH AY N AH IY S T ER N S EH V AH N S EH V AH N EY T S IH K S
audio_00503,510.1596,GND,"Xiamen Air 872, monitor Tower 118.8",Xiamen Air Eight Seven Two monitor Tower One One Eight Decimal Eight,Z IY EY M AH N EH R EY T S EH V AH N T UW M AA N AH T ER T AW ER W AH N W AH N EY T D EH S AH M AH L EY T
audio_00504,513.513,CXA872,"118.8, Xiamen Air 872, good day",One One Eight Decimal Eight Xiamen Air Eight Seven Two good day,W AH N W AH N EY T D EH S AH M AH L EY T Z IY EY M AH N EH R EY T S EH V AH N T UW G UH D D EY
audio_00505,528.845,GND,"United 892, hold short of M13 due to traffic",United Eight Niner Two hold short of Mike One Three due to traffic,Y UW N AY T AH D EY T N AY N ER T UW HH OW L D SH AO R T AH V M AY K W AH N TH R IY D UW T UW T R AE F IH K
audio_00506,532.5654,UAL892,"Hold short of M13, United 892",Hold short of Mike One Three United Eight Niner Two,HH OW L D SH AO R T AH V M AY K W AH N TH R IY Y UW N AY T AH D EY T N AY N ER T UW
audio_00507,540.4733,KAL024,"Incheon Tower, Korean Air 024, approaching ILS RWY16R",Incheon Tower Korean Air Zero Two Four approaching I L S Runway One Six Right,IH N CH AH N T AW ER K AO R IY AH N EH R Z IH R OW T UW F AO R AH P R OW CH IH NG AY EH L EH S R AH N W EY W AH N S IH K S R AY T
audio_00508,545.3782,TWR,"Korean Air 024, Incheon Tower, RWY16R, continue approach, wind 150 degrees 15kts",Korean Air Zero Two Four Incheon Tower Runway One Six Right continue approach wind One Five Zero degrees One Five Knots,K AO R IY AH N EH R Z IH R OW T UW F AO R IH N CH AH N T AW ER R AH N W EY W AH N S IH K S R AY T K AH N T IH N Y UW AH P R OW CH W AY N D W AH N F AY V Z IH R OW D IH G R IY Z W AH N F AY V N AA T S
audio_00509,551.3508,KAL024,"Continue approach, RWY16R, Korean Air 024",Continue approach Runway One Six Right Korean Air Zero Two Four,K AH N T IH N Y UW AH P R OW CH R AH N W EY W AH N S IH K S R AY T K AO R IY AH N EH R Z IH R OW T UW F AO R
audio_00510,556.3057,TWR,"Xiamen Air 872, Incheon Tower, line up and wait, RWY16L",Xiamen Air Eight Seven Two Incheon Tower line up and wait Runway One Six Left,Z IY EY M AH N EH R EY T S EH V AH N T UW IH N CH AH N T AW ER L AY N AH P AH N D W EY T R AH N W EY W AH N S IH K S L EH F T
audio_00511,560.7101,CXA872,"Line up and wait, RWY16L, Xiamen Air 872",Line up and wait Runway One Six Left Xiamen Air Eight Seven Two,L AY N AH P AH N D W EY T R AH N W EY W AH N S IH K S L EH F T Z IY EY M AH N EH R EY T S EH V AH N T UW
audio_00512,566.9164,GND,"China Eastern 7786, continue follow the greens then monitor Tower 118.8",China Eastern Seven Seven Eight Six continue follow the greens then monitor Tower One One Eight Decimal Eight,CH AY N AH IY S T ER N S EH V AH N S EH V AH N EY T S IH K S K AH N T IH N Y UW F AA L OW DH AH G R IY N Z DH EH N M AA N AH T ER T AW ER W AH N W AH N EY T D EH S AH M AH L EY T
audio_00513,572.2217,CES7786,"Continue follow the greens, Tower 118.8, China Easter 7786 good day",Continue follow the greens Tower One One Eight Decimal Eight China Easter Seven Seven Eight Six good day,K AH N T IH N Y UW F AA L OW DH AH G R IY N Z T AW ER W AH N W AH N EY T D EH S AH M AH L EY T CH AY N AH IY S T ER S EH V AH N S EH V AH N EY T S IH K S G UH D D EY
audio_00514,577.6938,GND,Good day,Good day,G UH D D EY
audio_00515,583.1326,TWR,"Xiamen Air 872, wind 150 degrees 15kts, RWY16L, cleared for take off",Xiamen Air Eight Seven Two wind One Five Zero degrees One Five Knots Runway One Six Left cleared for take off,Z IY EY M AH N EH R EY T S EH V AH N T UW W AY N D W AH N F AY V Z IH R OW D IH G R IY Z W AH N F AY V N AA T S R AH N W EY W AH N S IH K S L EH F T K L IH R D F AO R T EY K AO F
audio_00517,594.9443,KAL020,"Good afternoon Tower, Korean Air 020, 9miles on final, RWY16",Good afternoon Tower Korean Air Zero Two Zero 9miles on final Romeo Whiskey Yankee One Six,G UH D AE F T ER N UW N T AW ER K AO R IY AH N EH R Z IH R OW T UW Z IH R OW N IH N IY M IH L Z AA N F AY N AH L R OW M IY OW W IH S K IY Y AE NG K IY W AH N S IH K S
audio_00518,599.0985,TWR,"Good afternoon, Korean Air 020, Incheon Tower, RWY16R, continue approach",Good afternoon Korean Air Zero Two Zero Incheon Tower Runway One Six Right continue approach,G UH D AE F T ER N UW N K AO R IY AH N EH R Z IH R OW T UW Z IH R OW IH N CH AH N T AW ER R AH N W EY W AH N S IH K S R AY T K AH N T IH N Y UW AH P R OW CH
audio_00519,603.2026,KAL020,"Continue 16R, Korean Air 020",Continue One Six Right Korean Air Zero Two Zero,K AH N T IH N Y UW W AH N S IH K S R AY T K AO R IY AH N EH R Z IH R OW T UW Z IH R OW
audio_00520,605.8052,TWR,"Korean Air 024 wind 150 degrees 15kts, RWY16R, cleared land",Korean Air Zero Two Four wind One Five Zero degrees One Five Knots Runway One Six Right cleared land,K AO R IY AH N EH R Z IH R OW T UW F AO R W AY N D W AH N F AY V Z IH R OW D IH G R IY Z W AH N F AY V N AA T S R AH N W EY W AH N S IH K S R AY T K L IH R D L AE N D
audio_00521,611.4108,KAL024,"Cleared to land, RWY16R, Korean Air 024",Cleared to land Runway One Six Right Korean Air Zero Two Four,K L IH R D T UW L AE N D R AH N W EY W AH N S IH K S R AY T K AO R IY AH N EH R Z IH R OW T UW F AO R
audio_00522,618.4845,TWR,"Air Seoul 822, follow the greens",Air Seoul Eight Two Two follow the greens,EH R S OW L EY T T UW T UW F AA L OW DH AH G R IY N Z
audio_00523,621.3874,ASV822,"Follow the greens, Air Seoul 822",Follow the greens Air Seoul Eight Two Two,F AA L OW DH AH G R IY N Z EH R S OW L EY T T UW T UW
audio_00524,630.3797,TWR,"Air Seoul 822, cross RWY16L, follow the greens to 7W",Air Seoul Eight Two Two cross Runway One Six Left follow the greens to Seven Whiskey,EH R S OW L EY T T UW T UW K R AO S R AH N W EY W AH N S IH K S L EH F T F AA L OW DH AH G R IY N Z T UW S EH V AH N W IH S K IY
audio_00525,635.5349,ASV822,"Cross 16L, follow the greens to 7W, Air Seoul 822",Cross One Six Left follow the greens to Seven Whiskey Air Seoul Eight Two Two,K R AO S W AH N S IH K S L EH F T F AA L OW DH AH G R IY N Z T UW S EH V AH N W IH S K IY EH R S OW L EY T T UW T UW
audio_00526,642.0414,TWR,"Xiamen Air 872, contact Departure 125.15",Xiamen Air Eight Seven Two contact Departure One Two Five Decimal One Five,Z IY EY M AH N EH R EY T S EH V AH N T UW K AA N T AE K T D IH P AA R CH ER W AH N T UW F AY V D EH S AH M AH L W AH N F AY V
audio_00527,646.0454,CXA872,"1 2 5 1 5, Xiamen Air 872, good day",One Two Five One Five Xiamen Air Eight Seven Two good day,W AH N T UW F AY V W AH N F AY V Z IY EY M AH N EH R EY T S EH V AH N T UW G UH D D EY
audio_00528,649.4488,TWR,Good day,Good day,G UH D D EY
audio_00529,657.4401,TWR,"Air Seoul 822, follow the greens to 7W, contact Apnon 121.65",Air Seoul Eight Two Two follow the greens to Seven Whiskey contact Apnon One Two One Decimal Six Five,EH R S OW L EY T T UW T UW F AA L OW DH AH G R IY N Z T UW S EH V AH N W IH S K IY K AA N T AE K T AE P N AA N W AH N T UW W AH N D EH S AH M AH L S IH K S F AY V
audio_00530,663.7464,ASV822,"Follow the greens to 7W, contact Apron 121.65, Air Seoul 822",Follow the greens to Seven Whiskey contact Apron One Two One Decimal Six Five Air Seoul Eight Two Two,F AA L OW DH AH G R IY N Z T UW S EH V AH N W IH S K IY K AA N T AE K T EY P R AH N W AH N T UW W AH N D EH S AH M AH L S IH K S F AY V EH R S OW L EY T T UW T UW
audio_00531,671.3373,TWR,"Korean Air 024, follow the greens, hold short of RWY16L",Korean Air Zero Two Four follow the greens hold short of Runway One Six Left,K AO R IY AH N EH R Z IH R OW T UW F AO R F AA L OW DH AH G R IY N Z HH OW L D SH AO R T AH V R AH N W EY W AH N S IH K S L EH F T
audio_00532,675.1245,KAL024,"Follow the greens, hold short of RWY16L, Korean Air 024",Follow the greens hold short of Runway One Six Left Korean Air Zero Two Four,F AA L OW DH AH G R IY N Z HH OW L D SH AO R T AH V R AH N W EY W AH N S IH K S L EH F T K AO R IY AH N EH R Z IH R OW T UW F AO R
audio_00533,679.1285,TWR,"Korean Air 020, wind 150 at 13kts, RWY16R, cleared to land",Korean Air Zero Two Zero wind One Five Zero at One Three Knots Runway One Six Right cleared to land,K AO R IY AH N EH R Z IH R OW T UW Z IH R OW W AY N D W AH N F AY V Z IH R OW AE T W AH N TH R IY N AA T S R AH N W EY W AH N S IH K S R AY T K L IH R D T UW L AE N D
audio_00534,683.7998,KAL020,"Cleared to land, 16R, Korean Air 020",Cleared to land One Six Right Korean Air Zero Two Zero,K L IH R D T UW L AE N D W AH N S IH K S R AY T K AO R IY AH N EH R Z IH R OW T UW Z IH R OW
audio_00535,687.5035,TWR,"United 892, RWY16L, line up and wait",United Eight Niner Two Runway One Six Left line up and wait,Y UW N AY T AH D EY T N AY N ER T UW R AH N W EY W AH N S IH K S L EH F T L AY N AH P AH N D W EY T
audio_00536,690.9402,UAL892,"Line up and wait 16L, United 892",Line up and wait One Six Left United Eight Niner Two,L AY N AH P AH N D W EY T W AH N S IH K S L EH F T Y UW N AY T AH D EY T N AY N ER T UW
audio_00537,703.7364,TWR,"United 892, wind 150 at 16kts, RWY16L cleared for take off",United Eight Niner Two wind One Five Zero at One Six Knots Runway One Six Left cleared for take off,Y UW N AY T AH D EY T N AY N ER T UW W AY N D W AH N F AY V Z IH R OW AE T W AH N S IH K S N AA T S R AH N W EY W AH N S IH K S L EH F T K L IH R D F AO R T EY K AO F
audio_00538,709.2586,UAL892,"16L, cleared for take off, United 892",One Six Left cleared for take off United Eight Niner Two,W AH N S IH K S L EH F T K L IH R D F AO R T EY K AO F Y UW N AY T AH D EY T N AY N ER T UW
audio_00539,716.6326,UAE322,"Incheon Tower, Emirates 322 Super, established ILS 16R, 8miles",Incheon Tower Emirates Three Two Two Super established I L S One Six Right 8miles,IH N CH AH N T AW ER EH M ER AH T S TH R IY T UW T UW S UW P ER IH S T AE B L IH SH T AY EH L EH S W AH N S IH K S R AY T EY T M AH S AH L Z
audio_00540,723.3059,TWR,"Emirates 322 Super, Incheon Tower, RWY16R, continue approach",Emirates Three Two Two Super Incheon Tower Runway One Six Right continue approach,EH M ER AH T S TH R IY T UW T UW S UW P ER IH N CH AH N T AW ER R AH N W EY W AH N S IH K S R AY T K AH N T IH N Y UW AH P R OW CH
audio_00541,727.7103,UAE322,"Continue approach, Emirates 322",Continue approach Emirates Three Two Two,K AH N T IH N Y UW AH P R OW CH EH M ER AH T S TH R IY T UW T UW
audio_00542,729.9125,TWR,"China Eastern 7786, RWY16L, line up and wait",China Eastern Seven Seven Eight Six Runway One Six Left line up and wait,CH AY N AH IY S T ER N S EH V AH N S EH V AH N EY T S IH K S R AH N W EY W AH N S IH K S L EH F T L AY N AH P AH N D W EY T
audio_00543,733.5161,CES7786,"RWY16L, line up and wait, China Eastern 7786",Runway One Six Left line up and wait China Eastern Seven Seven Eight Six,R AH N W EY W AH N S IH K S L EH F T L AY N AH P AH N D W EY T CH AY N AH IY S T ER N S EH V AH N S EH V AH N EY T S IH K S
audio_00544,741.6242,TWR,"Korean Air 020, follow the greens, hold short of RWY16L",Korean Air Zero Two Zero follow the greens hold short of Runway One Six Left,K AO R IY AH N EH R Z IH R OW T UW Z IH R OW F AA L OW DH AH G R IY N Z HH OW L D SH AO R T AH V R AH N W EY W AH N S IH K S L EH F T
audio_00545,745.7283,KAL020,"Follow the greens, hold short of RWY16L, Korean Air 020",Follow the greens hold short of Runway One Six Left Korean Air Zero Two Zero,F AA L OW DH AH G R IY N Z HH OW L D SH AO R T AH V R AH N W EY W AH N S IH K S L EH F T K AO R IY AH N EH R Z IH R OW T UW Z IH R OW
audio_00546,750.8334,TWR,"Emirates 322, wind 150 at 13kts, RWY16R, cleared to land",Emirates Three Two Two wind One Five Zero at One Three Knots Runway One Six Right cleared to land,EH M ER AH T S TH R IY T UW T UW W AY N D W AH N F AY V Z IH R OW AE T W AH N TH R IY N AA T S R AH N W EY W AH N S IH K S R AY T K L IH R D T UW L AE N D
audio_00547,755.7383,UAE322,"Cleared to land, 16R, Emirates 322",Cleared to land One Six Right Emirates Three Two Two,K L IH R D T UW L AE N D W AH N S IH K S R AY T EH M ER AH T S TH R IY T UW T UW
audio_00548,759.0416,KAL,"Korean Air 024, cross RWY16L, follow the greens to 11W",Korean Air Zero Two Four cross Runway One Six Left follow the greens to One One Whiskey,K AO R IY AH N EH R Z IH R OW T UW F AO R K R AO S R AH N W EY W AH N S IH K S L EH F T F AA L OW DH AH G R IY N Z T UW W AH N W AH N W IH S K IY
audio_00549,764.5471,KAL024,"Roger Cross RWY16L, follow the greens to 11W, Korean Air 024",Roger Cross Runway One Six Left follow the greens to One One Whiskey Korean Air Zero Two Four,R AA JH ER K R AO S R AH N W EY W AH N S IH K S L EH F T F AA L OW DH AH G R IY N Z T UW W AH N W AH N W IH S K IY K AO R IY AH N EH R Z IH R OW T UW F AO R
audio_00550,771.454,TWR,"United 892, contact Departure 1 2 5 1 5",United Eight Niner Two contact Departure One Two Five One Five,Y UW N AY T AH D EY T N AY N ER T UW K AA N T AE K T D IH P AA R CH ER W AH N T UW F AY V W AH N F AY V
audio_00551,775.1577,UAL892,"1 2 5 1 5, United 892, good day",One Two Five One Five United Eight Niner Two good day,W AH N T UW F AY V W AH N F AY V Y UW N AY T AH D EY T N AY N ER T UW G UH D D EY
audio_00552,779.2285,TWR,Good day,Good day,G UH D D EY
audio_00553,787.3199,TWR,"China Eastern 7786, wind 160 at 16kts, RWY16L, cleared for take off",China Eastern Seven Seven Eight Six wind One Six Zero at One Six Knots Runway One Six Left cleared for take off,CH AY N AH IY S T ER N S EH V AH N S EH V AH N EY T S IH K S W AY N D W AH N S IH K S Z IH R OW AE T W AH N S IH K S N AA T S R AH N W EY W AH N S IH K S L EH F T K L IH R D F AO R T EY K AO F
audio_00554,793.0923,CES7786,"RWY16L, cleared for take off, China Eastern 7786",Runway One Six Left cleared for take off China Eastern Seven Seven Eight Six,R AH N W EY W AH N S IH K S L EH F T K L IH R D F AO R T EY K AO F CH AY N AH IY S T ER N S EH V AH N S EH V AH N EY T S IH K S
audio_00555,800.0993,KAL094,"Tower, Korean Air 094 Heavy, ILS 16R inbound",Tower Korean Air Zero Niner Four Heavy I L S One Six Right inbound,T AW ER K AO R IY AH N EH R Z IH R OW N AY N ER F AO R HH EH V IY AY EH L EH S W AH N S IH K S R AY T IH N B AW N D
audio_00556,805.4547,TWR,"Korean Air 094 Heavy, Incheon Tower, RWY16R, continue approach",Korean Air Zero Niner Four Heavy Incheon Tower Runway One Six Right continue approach,K AO R IY AH N EH R Z IH R OW N AY N ER F AO R HH EH V IY IH N CH AH N T AW ER R AH N W EY W AH N S IH K S R AY T K AH N T IH N Y UW AH P R OW CH
audio_00557,810.0593,KAL094,"Continue 16R, Korean Air 094 Heavy",Continue One Six Right Korean Air Zero Niner Four Heavy,K AH N T IH N Y UW W AH N S IH K S R AY T K AO R IY AH N EH R Z IH R OW N AY N ER F AO R HH EH V IY
audio_00558,814.8641,TWR,"Korean Air 094, caution wake turbulence, arriving Airbus 3 8 0 on final RWY16R",Korean Air Zero Niner Four caution wake turbulence arriving Airbus Three Eight Zero on final Runway One Six Right,K AO R IY AH N EH R Z IH R OW N AY N ER F AO R K AA SH AH N W EY K T ER B Y AH L AH N S ER AY V IH NG EH R B AH S TH R IY EY T Z IH R OW AA N F AY N AH L R AH N W EY W AH N S IH K S R AY T
audio_00559,821.5708,KAL094,"094, roger, thank you",Zero Niner Four roger thank you,Z IH R OW N AY N ER F AO R R AA JH ER TH AE NG K Y UW
audio_00560,823.9732,GND,"Korean Air 024, contact Apron 122.17",Korean Air Zero Two Four contact Apron One Two Two Decimal One Seven,K AO R IY AH N EH R Z IH R OW T UW F AO R K AA N T AE K T EY P R AH N W AH N T UW T UW D EH S AH M AH L W AH N S EH V AH N
audio_00561,827.5768,KAL024,"1 2 2 1 7, Korean Air 024, good day",One Two Two One Seven Korean Air Zero Two Four good day,W AH N T UW T UW W AH N S EH V AH N K AO R IY AH N EH R Z IH R OW T UW F AO R G UH D D EY
audio_00562,830.4796,TWR,"Korean Air 020, cross RWY16L, follow the greens to 14W",Korean Air Zero Two Zero cross Runway One Six Left follow the greens to One Four Whiskey,K AO R IY AH N EH R Z IH R OW T UW Z IH R OW K R AO S R AH N W EY W AH N S IH K S L EH F T F AA L OW DH AH G R IY N Z T UW W AH N F AO R W IH S K IY
audio_00563,835.8517,KAL020,"Korean Air 020, cross RWY16L, follow the greens",Korean Air Zero Two Zero cross Runway One Six Left follow the greens,K AO R IY AH N EH R Z IH R OW T UW Z IH R OW K R AO S R AH N W EY W AH N S IH K S L EH F T F AA L OW DH AH G R IY N Z
audio_00564,840.7566,TWR,Follow the greens to 14W,Follow the greens to One Four Whiskey,F AA L OW DH AH G R IY N Z T UW W AH N F AO R W IH S K IY
audio_00565,843.3592,KAL020,"To 14W, Korean Air 020",To One Four Whiskey Korean Air Zero Two Zero,T UW W AH N F AO R W IH S K IY K AO R IY AH N EH R Z IH R OW T UW Z IH R OW
audio_00566,846.2621,TWR,"China Eastern 7786, contact Departure 125.15",China Eastern Seven Seven Eight Six contact Departure One Two Five Decimal One Five,CH AY N AH IY S T ER N S EH V AH N S EH V AH N EY T S IH K S K AA N T AE K T D IH P AA R CH ER W AH N T UW F AY V D EH S AH M AH L W AH N F AY V
audio_00568,867.2998,TWR,"Emirates 322, follow the greens, cross RWY16L",Emirates Three Two Two follow the greens cross Runway One Six Left,EH M ER AH T S TH R IY T UW T UW F AA L OW DH AH G R IY N Z K R AO S R AH N W EY W AH N S IH K S L EH F T
audio_00569,872.2547,UAE322,"Follow the greens, cross 16L, Emirates 322",Follow the greens cross One Six Left Emirates Three Two Two,F AA L OW DH AH G R IY N Z K R AO S W AH N S IH K S L EH F T EH M ER AH T S TH R IY T UW T UW
audio_00570,877.7269,TWR,"Korean Air 094, wind 150 at 13kts, RWY16R, cleared to land",Korean Air Zero Niner Four wind One Five Zero at One Three Knots Runway One Six Right cleared to land,K AO R IY AH N EH R Z IH R OW N AY N ER F AO R W AY N D W AH N F AY V Z IH R OW AE T W AH N TH R IY N AA T S R AH N W EY W AH N S IH K S R AY T K L IH R D T UW L AE N D
audio_00571,882.7986,KAL094,"Korean Air 094, cleared to land, 16R",Korean Air Zero Niner Four cleared to land One Six Right,K AO R IY AH N EH R Z IH R OW N AY N ER F AO R K L IH R D T UW L AE N D W AH N S IH K S R AY T
audio_00572,895.528,TWR,"Emirates 322, turn right on N, follow the greens",Emirates Three Two Two turn right on November follow the greens,EH M ER AH T S TH R IY T UW T UW T ER N R AY T AA N N OW V EH M B ER F AA L OW DH AH G R IY N Z
audio_00573,899.6321,UAE322,"Right turn on N, follow the greens, Emirates 322",Right turn on November follow the greens Emirates Three Two Two,R AY T T ER N AA N N OW V EH M B ER F AA L OW DH AH G R IY N Z EH M ER AH T S TH R IY T UW T UW
audio_00574,905.8049,GND,"Korean Air 020, contact Apron 122.17",Korean Air Zero Two Zero contact Apron One Two Two Decimal One Seven,K AO R IY AH N EH R Z IH R OW T UW Z IH R OW K AA N T AE K T EY P R AH N W AH N T UW T UW D EH S AH M AH L W AH N S EH V AH N
audio_00575,910.0091,KAL020,"1 2 2 1 7, Korean Air 020, good day",One Two Two One Seven Korean Air Zero Two Zero good day,W AH N T UW T UW W AH N S EH V AH N K AO R IY AH N EH R Z IH R OW T UW Z IH R OW G UH D D EY
audio_00576,912.2113,GND,Good day,Good day,G UH D D EY
audio_00577,920.6197,TWR,"Korean Air 094, follow the greens, cross RWY16L via P3",Korean Air Zero Niner Four follow the greens cross Runway One Six Left via Papa Three,K AO R IY AH N EH R Z IH R OW N AY N ER F AO R F AA L OW DH AH G R IY N Z K R AO S R AH N W EY W AH N S IH K S L EH F T V AY AH P AA P AH TH R IY
audio_00578,926.6591,KAL094,"Follow the greens, cross RWY16L via P3, Korean Air 094",Follow the greens cross Runway One Six Left via Papa Three Korean Air Zero Niner Four,F AA L OW DH AH G R IY N Z K R AO S R AH N W EY W AH N S IH K S L EH F T V AY AH P AA P AH TH R IY K AO R IY AH N EH R Z IH R OW N AY N ER F AO R
audio_00579,933.3658,TWR,"Emirates 322, contact Apron 121.65",Emirates Three Two Two contact Apron One Two One Decimal Six Five,EH M ER AH T S TH R IY T UW T UW K AA N T AE K T EY P R AH N W AH N T UW W AH N D EH S AH M AH L S IH K S F AY V
audio_00580,937.1696,UAE322,"1 2 1 6 5, Emirates 322, good day",One Two One Six Five Emirates Three Two Two good day,W AH N T UW W AH N S IH K S F AY V EH M ER AH T S TH R IY T UW T UW G UH D D EY
audio_00581,939.7388,TWR,Good day,Good day,G UH D D EY
audio_00582,947.63,ACA061,"Incheon Tower, Air Canada 061 Heavy, just come above on a OSERI, ILS 16R",Incheon Tower Air Canada Zero Six One Heavy just come above on a $OSERI$ I L S One Six Right,IH N CH AH N T AW ER EH R K AE N AH D AH Z IH R OW S IH K S W AH N HH EH V IY JH AH S T K AH M AH B AH V AA N AH OW Z EH R IY AY EH L EH S W AH N S IH K S R AY T
audio_00583,953.0855,TWR,"Roger, Air Canada 061 Heavy, Incheon Tower, wind 150 at 12kts, RWY16R, cleared to land",Roger Air Canada Zero Six One Heavy Incheon Tower wind One Five Zero at One Two Knots Runway One Six Right cleared to land,R AA JH ER EH R K AE N AH D AH Z IH R OW S IH K S W AH N HH EH V IY IH N CH AH N T AW ER W AY N D W AH N F AY V Z IH R OW AE T W AH N T UW N AA T S R AH N W EY W AH N S IH K S R AY T K L IH R D T UW L AE N D
audio_00584,959.592,ACA061,"Cleared to land, 16R, Air Canada 061",Cleared to land One Six Right Air Canada Zero Six One,K L IH R D T UW L AE N D W AH N S IH K S R AY T EH R K AE N AH D AH Z IH R OW S IH K S W AH N
audio_00585,970.8032,GND,"Korean Air 094, follow the greens to 11W",Korean Air Zero Niner Four follow the greens to One One Whiskey,K AO R IY AH N EH R Z IH R OW N AY N ER F AO R F AA L OW DH AH G R IY N Z T UW W AH N W AH N W IH S K IY
audio_00586,974.7404,KAL094,"Follow the greens to 11W, Korean Air 094",Follow the greens to One One Whiskey Korean Air Zero Niner Four,F AA L OW DH AH G R IY N Z T UW W AH N W AH N W IH S K IY K AO R IY AH N EH R Z IH R OW N AY N ER F AO R
audio_00587,0.2,ARR,"Giant 531, turn left heading 060, correction, turn left heading 070",Giant Five Three One turn left heading Zero Six Zero correction turn left heading Zero Seven Zero,JH AY AH N T F AY V TH R IY W AH N T ER N L EH F T HH EH D IH NG Z IH R OW S IH K S Z IH R OW K ER EH K SH AH N T ER N L EH F T HH EH D IH NG Z IH R OW S EH V AH N Z IH R OW
